Length,Key,Mode,time_signature,Danceability,Acousticness,Energy,liveness,loudness,speechiness,valence,tempo,Genere,Classe
196652,0,1,4,0.401,0.812,0.196,0.154,-13.299,0.0346,0.171,105.001,ACOUSTIC,1
191000,7,0,4,0.748,0.688,0.41,0.114,-8.312,0.0307,0.86,100.016,ACOUSTIC,1
231924,5,1,4,0.563,0.616,0.428,0.11,-7.645,0.0397,0.199,74.881,ACOUSTIC,1
193936,7,1,4,0.739,0.887,0.312,0.0695,-6.673,0.0447,0.505,78.083,ACOUSTIC,1
227413,3,1,4,0.574,0.709,0.326,0.111,-11.284,0.0301,0.563,147.921,ACOUSTIC,1
136493,11,1,4,0.636,0.591,0.401,0.08,-8.636,0.0367,0.834,95.878,ACOUSTIC,1
142177,10,0,4,0.473,0.775,0.359,0.0997,-6.126,0.0537,0.733,82.37,ACOUSTIC,1
216830,7,1,4,0.62,0.766,0.438,0.366,-6.176,0.0302,0.255,111.803,ACOUSTIC,1
208334,9,1,4,0.602,0.904,0.0938,0.0929,-11.733,0.03,0.219,100.009,ACOUSTIC,1
176880,4,1,4,0.664,0.75,0.45,0.1,-6.844,0.0285,0.512,135.923,ACOUSTIC,1
193780,11,1,4,0.567,0.885,0.173,0.111,-11.964,0.0352,0.196,117.94,ACOUSTIC,1
270893,9,1,4,0.63,0.704,0.31,0.128,-9.253,0.028,0.0712,93.067,ACOUSTIC,1
212625,3,1,4,0.674,0.845,0.265,0.111,-11.687,0.031,0.481,139.913,ACOUSTIC,1
236953,9,0,4,0.717,0.796,0.292,0.126,-11.542,0.0733,0.502,140.157,ACOUSTIC,1
219300,4,1,4,0.37,0.897,0.281,0.0952,-11.761,0.0424,0.296,75.191,ACOUSTIC,1
186661,0,1,4,0.57,0.82,0.271,0.108,-11.334,0.0304,0.273,125.862,ACOUSTIC,1
187400,4,1,4,0.517,0.542,0.291,0.163,-9.194,0.0286,0.452,155.451,ACOUSTIC,1
199463,10,1,4,0.627,0.877,0.213,0.204,-12.634,0.0349,0.18,92.054,ACOUSTIC,1
193467,10,1,4,0.542,0.75,0.398,0.104,-6.533,0.0263,0.561,78.063,ACOUSTIC,1
199487,10,1,4,0.762,0.872,0.235,0.149,-10.991,0.04,0.463,130.02,ACOUSTIC,1
210820,7,1,4,0.558,0.505,0.463,0.129,-8.401,0.0274,0.335,149.929,ACOUSTIC,1
164939,0,1,4,0.82,0.225,0.624,0.168,-6.386,0.0574,0.633,106.023,ACOUSTIC,1
158314,1,0,4,0.712,0.696,0.198,0.103,-12.006,0.042,0.704,97.83,ACOUSTIC,1
178852,4,1,4,0.553,0.861,0.229,0.103,-10.336,0.0281,0.231,126.145,ACOUSTIC,1
184286,3,1,4,0.733,0.638,0.291,0.0918,-9.201,0.0291,0.646,111.99,ACOUSTIC,1
